Timestamp,What sports would like you like me to plan in the upcoming weeks? ,How often would you like the sports events to happen? ,Which of the following events would you be most interested in attending? (Select al that apply),How frequenent would you like to have a social event?,Would you be interested in participating in study groups outside of class?,"Q1: How satisfied are you with the structure of the program? (potential areas to think about: course logistics, grading system, division into sections, etc.)

Note: DO NOT INCLUDE YOUR FEEDBACK ON THE DIFFICULTY OF THE COURSE (that's for another section)","If you have anything to share for Q1, please use the space below to share your feedback","Q2. How satisfied are you with the assessment structure of the program? (potential areas to think about: cheatsheets, exam dates and availabilities, labs and worksheets, etc.)

Note: DO NOT INCLUDE YOUR FEEDBACK ON THE DIFFICULTY OF THE EXAM (that's for another section)","If you have anything to share for Q2, please use the space below to share your feedback","Q3. How satisfied are you with the Instructors and Instruction Quality of the program? (potential areas to think about: lecture pace, areas of excellence, areas of improvement, etc.)","If you have anything to share for Q3, please use the space below to share your feedback","Q4. How satisfied are you with the Communication Method/Effectiveness of the program? (potential areas to think about: using Slack, using course-specific websites, etc.)","If you have anything to share for Q4, please use the space below to share your feedback","Q5. How challenging has the program been thus far? (potential areas to think about: the difficulty of lectures, the difficulty of the labs/worksheets, the difficulty of the exams, etc.)","If you have anything to share for Q5, please use the space below to share your feedback","Q6. How has balancing the course workload been so far? (potential areas to think about: lectures, pre-lecture workload, labs, worksheets, etc.)","If you have anything to share for Q6, please use the space below to share your feedback",What are some things that's working well for you regarding the academic-portion of this program (i.e. positive remarks),What are some things that's absolutely NOT working well for you regarding the academic-portion of this program (i.e. negative remarks),"If you have anything else to share with the instructors and program facilitators, leave your comment/feedback here! ",Column 21,How stressful did you find the block 2?,"Have you had a chance to try any of the resources? If so, I’d love to hear your feedback!",How can we help you?,Have you attended any career-related events or workshops so far?,"If so, could you share your experience and feedback?"
10/16/2024 11:37:34,Football,Weekly,"Movie screening, Bowling, Trivia Night, Karaoke Night, Happy hour, Restaurant or coffee shop meetups",Biweekly,"No, I prefer to study alone",Neutral,,Very satisfied,,Neutral,,Neutral,,Very Challenging,,Frequently Overwhelming,,,,,,8,not yet,,No,
10/16/2024 11:37:57,volleyball,Once per block,"Movie screening, Bowling, Happy hour",Weekly,"Maybe, depending on the material",Satisfied,,Neutral,,Satisfied,,Satisfied,,Extremely Challenging,,Frequently Overwhelming,Quiz week should not have lab assignments,,Lab assignments are lengthy.,,,8,No,,Yes,
10/16/2024 11:38:20,Soccer (Football),Weekly,Bowling,Once per block,"Maybe, depending on the material",Satisfied,,Satisfied,,Satisfied,,Very satisfied,,Very Challenging,,Sometimes Overwhelming,,Gaining Concepts and learning new stuff.,Some Labs are comparatively too long. Multiple excercises of same type of concepts are there.,,,7,No,,Yes,Attended Career Fair
10/16/2024 11:38:27,ping pong / badminton,Once per block,Restaurant or coffee shop meetups,Once per block,"No, I prefer to study alone",Satisfied,,Satisfied,,Satisfied,,Satisfied,,Moderately Challenging,,Sometimes Overwhelming,,,,,,7,I haven't,,Yes,Not looking promising. The job market is rough.
10/16/2024 11:38:54,Soccer,Once per block,Bowling,Once per block,"Yes, definitely",Neutral,,Dissatisfied,,Neutral,,Neutral,,Moderately Challenging,,Frequently Overwhelming,,,Lab assignments are too much. Cannot really study the materials. ,,,5,No,,Yes,
10/16/2024 11:39:08,Perhaps during the break you could organize a skiing trip.,Once per block,"Movie screening, Karaoke Night, Restaurant or coffee shop meetups",Biweekly,"Maybe, depending on the material",Satisfied,,Neutral,I think that labs should be due Sunday at 12 consistently ,Satisfied,,Satisfied,,Moderately Challenging,,Sometimes Overwhelming,,,,,,4,Not yet,,Yes,
10/16/2024 11:39:24,Spikeball,Once per block,"Trivia Night, Happy hour",Weekly,"Maybe, depending on the material",Very satisfied,,Very satisfied,,Satisfied,,Very satisfied,,Moderately Challenging,,Mostly Manageable,,,,,,2,N/A,,No,
10/16/2024 11:39:49,Hikes,Biweekly,"Bowling, Trivia Night, Karaoke Night, Happy hour, Restaurant or coffee shop meetups",Weekly,"Yes, definitely",Neutral,,Neutral,,Very satisfied,,Neutral,,Very Challenging,,Frequently Overwhelming,,,Having due dates on Saturday at 6. I prefer midnight,,,5,No,,Yes,They were great
10/16/2024 11:40:03,badminton / ping pong,Weekly,"Bowling, Happy hour",Once per block,"Maybe, depending on the material",Satisfied,,Satisfied,,Satisfied,,Satisfied,,Moderately Challenging,,Sometimes Overwhelming,,,,,,7,not have enough time to try,,Yes,it is rough and about internship hring rather than fulltime
10/16/2024 11:40:07,tennis ,Biweekly,Happy hour,Once per block,"Yes, definitely",Neutral,Need more focus on future career and landing a job instead of going over too academic contents,Neutral,"assignment deadline and reivewing process is overlapped, so the workload is really heavy. ",Dissatisfied,some instructors are not well explain the material enough ,Satisfied,,Extremely Challenging,Due to the very limited time and high difficulty of exam,Frequently Overwhelming,,course content ,exams are hard ,,,9,I went to office hours,,Yes,
10/16/2024 11:41:14,A hike!!,Once per block,"Movie screening, Bowling, Trivia Night, Karaoke Night, Happy hour",Once per block,"Maybe, depending on the material",Neutral,Still feeling pretty disconnected from section 1. There are also lots of issues with grading but I understand those are being resolved.,Satisfied,,Satisfied,It varies a lot from instructor to instructor.,Very satisfied,,Moderately Challenging,,Sometimes Overwhelming,,I appreciate how challenging the program is.,,,Option 1,7,Not yet!,,No,
10/16/2024 11:41:33,Beach Volley ball,Once per block,"Movie screening, Bowling, Restaurant or coffee shop meetups",Once per block,"Yes, definitely",Satisfied,,Satisfied,,Satisfied,,Satisfied,,Very Challenging,,Sometimes Overwhelming,,I like the way it's solely specific to Data Science and all courses are working hand in hand,"The workload is choking, I suggest it could be spread out",,,7,no,,No,
10/16/2024 11:42:20,"volleyball, badminton, pickle ball",Biweekly,"Bowling, Trivia Night, Happy hour, Restaurant or coffee shop meetups",Biweekly,"Yes, definitely",Satisfied,,Satisfied,"Extrapolating from block 1 experience, it would be good to see some improvement in grading turnaround times",Satisfied,,Satisfied,,Moderately Challenging,,Mostly Manageable,,additional resource links in the lecture notes,,,,6,n/a,,Yes,
10/16/2024 11:42:24,,Once per block,"Trivia Night, Karaoke Night, Restaurant or coffee shop meetups",Biweekly,"Maybe, depending on the material",Satisfied,,Satisfied,,Very satisfied,,Satisfied,,Moderately Challenging,,Mostly Manageable,,,,,,5,Not yet.,,No,
10/16/2024 11:44:20,Soccer!!!,Weekly,"Movie screening, Bowling, Trivia Night",Biweekly,"No, I prefer to study alone",Neutral,It takes too long for grades and lab solutions to be submitted. I understand this is a challenge because of how many of us there are but I still wanted to mention it.,Satisfied,I strongly feel like challenging questions in labs should give bonus points instead of being worth 5% of the lab. ,Very satisfied,Instructors and TAs are great!,Very satisfied,,Moderately Challenging,It's a bit hard to answer since block 1 grades are still not released.,Sometimes Overwhelming,The period between week 2-3 where we have to worry about cheat sheets and quizzes on top of everything else us exceptionally overwhelming.,I really like being able to schedule my own quizzes.,"I dislike having to scramble between Slack, Canvas, Gradescope, Prairielearn, Prairietest, and github to find all the course info I need. I really wish it was consolidated in one place",Thank you!,,3,Nope,,No,
10/16/2024 11:44:43,"Pickeball, spikeball, ",Biweekly,"Movie screening, Bowling, Trivia Night, Karaoke Night, Happy hour",Weekly,"Maybe, depending on the material",Dissatisfied,,Dissatisfied,I think more projects and less quizzes make more sense.,Satisfied,,Neutral,,Very Challenging,,Frequently Overwhelming,,,,,,7,Not really!,,Yes,
10/16/2024 11:44:51,badminton,Biweekly,"Movie screening, Karaoke Night, Happy hour, Restaurant or coffee shop meetups",Biweekly,"Yes, definitely",Neutral,,Satisfied,,Satisfied,,Very satisfied,,Very Challenging,,Extremely difficult to manage,,,We usually have labs before we finish all the lectures. ,,,9,No. I usually have my own way to relax myself and I think that's helpful.,,Yes,I attended info session and I think they are helpful to get known with the companies
10/16/2024 11:45:51,archery,Biweekly,Movie screening,Once per block,"Maybe, depending on the material",Neutral,,Neutral,too much workload to process,Satisfied,,Satisfied,,Very Challenging,,Frequently Overwhelming,,more aware of time management in advance,"too much workload, hard to handle some courses due to lack of relevant background",,,9,never,,Yes,
10/16/2024 11:46:40,Anything indoors,Biweekly,"Movie screening, Bowling, Trivia Night",Once per block,"Maybe, depending on the material",Satisfied,,Satisfied,Depends on specific course. Some are OK,Satisfied,Subject dependent,Very satisfied,,Very Challenging,,Frequently Overwhelming,"I think the late submission of labs could be graduated. Few Hours late 10% penalty for example. Right now, even 1 minute late is severely penalised",Generally OK,Room switch on the days we have DSCI531 to DSCI552,Would a graduated late submission penalty for labs be acceptable? ,Option 1,9,No,,No,I am looking forward to the mentorship
10/16/2024 11:49:30,Basketball,Once per block,"Movie screening, Bowling",Weekly,"Yes, definitely",Satisfied,I think more quiz practice questions can be provided,Satisfied,,Satisfied,Syllabus is lot so i think some precise notes can be provided to study in such a less time it will be very helpful,Satisfied,,Moderately Challenging,Again i would say some precise notes can be provided,Sometimes Overwhelming,,"Block 2 has a lot of syllabus but i am finding more interesting than block 1, getting comfortable than block 1 ",Block 1 was little hectic ,,Option 1,5,"Not yet, goung to office hours and conversing with instructors ",,Yes,It was nice and i get to know about the companies and i interacted with them
10/16/2024 12:01:55,European Football,Once per block,"Movie screening, Bowling, Trivia Night, Karaoke Night, Happy hour, Restaurant or coffee shop meetups",Once per block,"Yes, definitely",Satisfied,,Satisfied,,Satisfied,,Satisfied,,Very Challenging,,Frequently Overwhelming,,,,,,5,Not yet. I feel relaxed so far,,Yes,Not very interesting 
10/16/2024 12:17:52,,,"Bowling, Trivia Night",Biweekly,"Yes, definitely",Neutral,"The coursework is very intense and often I find myself out of energy/time to do other things (networking, preparing for interview, etc..) Also, the course contents does not go as deep as I hoped. These problems could be solved if the program was 1.5-2 yr program instead of 10 months.",Satisfied,,Satisfied,,Very satisfied,,Moderately Challenging,,Sometimes Overwhelming,,,,,,7,No I have not had time to try yet,,Yes,They were underwhelming 
10/16/2024 12:30:09,,Once per block,"Movie screening, Trivia Night, Restaurant or coffee shop meetups",Once per block,"No, I prefer to study alone",Dissatisfied,I'm ill prepared for this program,Neutral,,Neutral,,Satisfied,,Extremely Challenging,Still trying to get used to pace and catch up with all the material,Extremely difficult to manage,,i have really helpful peers. ,,,,8,no,,No,
10/16/2024 13:13:22,badminton,Biweekly,"Movie screening, Bowling, Happy hour, Restaurant or coffee shop meetups",Biweekly,"Maybe, depending on the material",Neutral,,Satisfied,,Neutral,,Satisfied,,Very Challenging,,Frequently Overwhelming,,,,,,8,no,,No,
10/16/2024 13:22:17,,,Bowling,Biweekly,"Maybe, depending on the material",Neutral,"Mostly I feel I can learn a lot from it. However, for course like 512, it might be too hard for people with no basic knowledge to get through a lot of topics within one lecture.",Neutral,"The assessment in the middle of the block is kinda difficult to manage since there's barely no time besides lectures and lab (and we have to finish the lab by the weekend). Also, the cheatsheet would take a long time besides labs. That would make the routine kinda chaotic.",Satisfied,Most of the lectures are much above a good level. One point I have is that I think Heddy can be more enthusiastic in the lecture because the materials are relatively the hardest for a lot of people to understand (that's what I heard from a lot of classmates). Also I expect a more structural lectures in 512.,Very satisfied,,Moderately Challenging,,Sometimes Overwhelming,,I think I learn a lot,I'm taking a LOT of time doing all the academic things. So I'm too exhausted to do anything after class.,,,7,Yes,,Yes,Good. Usually that only gives me some information but I don't think that really helps me as a new grad job seeker. (Maybe it's just me)
10/16/2024 13:23:35,badminton,Biweekly,"Movie screening, Bowling",Weekly,"Maybe, depending on the material",Neutral,,Neutral,,Neutral,,Satisfied,,Slightly Challenging,,Sometimes Overwhelming,,,,,,6,not really,,Yes,OK
10/16/2024 14:14:50,Basketball.,Biweekly,"Movie screening, Bowling, Trivia Night, Karaoke Night, Happy hour, Restaurant or coffee shop meetups",Biweekly,"No, I prefer to study alone",Satisfied,,Satisfied,,Satisfied,,Satisfied,,Very Challenging,,Frequently Overwhelming,,Lecture notes are well-organized.,There are no lecture recordings.,,,6,no,,No,
10/16/2024 16:31:42,"basketball, volleyball",Biweekly,"Bowling, Trivia Night",Biweekly,"Maybe, depending on the material",Satisfied,,Satisfied,"Pretty good! I think I heavily prefer the lack of having to make cheatsheets for 531 Data Visualization and just being given a reference sheet. As Verada said in the labs, it does seem like wasting a bit of time (and detracting from learning) making the cheatsheets.",Satisfied,"Less fond of the reversed classroom, but not bad overall",Satisfied,,Moderately Challenging,,Mostly Manageable,,,Having to make cheatsheets every two weeks - seems like a waste of time,,,5,Nope,,Yes,Good pizza
10/17/2024 8:44:38,,Once per block,"Movie screening, Bowling, Trivia Night, Restaurant or coffee shop meetups",Once per block,,Satisfied,,Satisfied,,Satisfied,,Satisfied,,Slightly Challenging,,Sometimes Overwhelming,,,,,,5,"Yes, attended Varada's session on Wednesday ",,Yes,
10/17/2024 13:37:56,Hiking,Biweekly,,Once per block,"No, I prefer to study alone",Very dissatisfied,It is hardly to say what can I learn in just 4 weeks. ,Very dissatisfied,Too many questions in a short time. No time for thinking. ,Very dissatisfied,In many cases I need to learn by myself. They did not teach much. ,Very dissatisfied,Email is better. ,Extremely Challenging,Time is not enough for learning. ,Extremely difficult to manage,Too many assignments.  No time for thinking. ,Living in Vancouver. ,No time to do anything except doing assignments. ,,Option 1,10,No,Offer me a job.,No,
10/17/2024 16:22:53,Indoor volleyball,Once per block,"Bowling, Restaurant or coffee shop meetups",Biweekly,"Yes, definitely",Neutral,,Dissatisfied,"I'd like worksheets to not count towards our marks but still be autograded to provide feedback on our learning. As it stands the program seems to use a portion of grades to motivate behaviour (like attending class, completing the workshops). Its a professional degree and this grade strategy is a bit too paternalistic.",Dissatisfied,Hedy's presentation style is so flat and quiet that it is difficult to find the content interesting.,Dissatisfied,There are a number of moments where communication falls through the gaps and it falls to students to pick it up. This doesn't communicate the excellence that the program is capable of.,Slightly Challenging,,Very Manageable,,"There is enough flexibility for me to complete the labs early in the week and choose how to learn the content. If e.g. class participation marks were a significant part of the grade, I would have to show up and this would meaningfully limit my own agency in learning the content and getting the work done.","We have yet to have a lab without issue (typos, bugs) and lecture notes without typos. This error rate is too high for the program to be as excellent as I know the program staff want the program to be.",,,4,Nope,I'm working through issues but they are not related to the program.,No,
