Timestamp,"Q1: How satisfied are you with the structure of the program? (potential areas to think about: course logistics, grading system, division into sections, etc.)

Note: DO NOT INCLUDE YOUR FEEDBACK ON THE DIFFICULTY OF THE COURSE (that's for another section)","If you have anything to share for Q1, please use the space below to share your feedback","Q2. How satisfied are you with the assessment structure of the program? (potential areas to think about: cheatsheets, exam dates and availabilities, labs and worksheets, etc.)

Note: DO NOT INCLUDE YOUR FEEDBACK ON THE DIFFICULTY OF THE EXAM (that's for another section)","If you have anything to share for Q2, please use the space below to share your feedback","Q3. How satisfied are you with the Instructors and Instruction Quality of the program? (potential areas to think about: lecture pace, areas of excellence, areas of improvement, etc.)","If you have anything to share for Q3, please use the space below to share your feedback","Q4. How satisfied are you with the Communication Method/Effectiveness of the program? (potential areas to think about: using Slack, using course-specific websites, etc.)","If you have anything to share for Q4, please use the space below to share your feedback","Q5. How challenging has the program been thus far? (potential areas to think about: the difficulty of lectures, the difficulty of the labs/worksheets, the difficulty of the exams, etc.)","If you have anything to share for Q5, please use the space below to share your feedback","Q6. How has balancing the course workload been so far? (potential areas to think about: lectures, pre-lecture workload, labs, worksheets, etc.)","If you have anything to share for Q6, please use the space below to share your feedback",What are some things that's working well for you regarding the academic-portion of this program (i.e. positive remarks),What are some things that's absolutely NOT working well for you regarding the academic-portion of this program (i.e. negative remarks),"If you have anything else to share with the instructors and program facilitators, leave your comment/feedback here! "
9/22/2024 8:33:03,Satisfied,,Neutral,"I don’t feel like the cheat sheets are very helpful, especially because of how long they take to make and because of the limit we have on them. ",Neutral,"I feel like in certain courses the content being taught is really relevant to what is being tested and in other courses, it leaves a lot to be desired or you basically have to spend a lot of time learning a lot of material yourself outside of labs and even regular class time. I think the pace has been OK, but it also seems to be prof dependent. Some of our courses, the professors provide a worksheet for more practice as well as more resources to practice and other courses, we don’t really get that.",Satisfied,"I think that when it comes to office hours and slack the teaching team usually is very helpful in responding. Other times I feel like if there’s errors in the labs or something, some profs don’t point it out on slack which can be confusing sometimes ",Moderately Challenging,"I didn’t think that the content itself, especially the labs and worksheets are that challenging. I do also think most of the exams were pretty fair, but like I mentioned, they do require a significant amount of self studying outside of lecture time a lot of time because a lot of they covered was not really mentioned in class or even examples of it given to us. I think 511’s quiz felt longer than it should have really been since there was a lot of coding questions and in a strict time limit. I also felt like it was a bit unrealistic to expect us to finish it in 50 minutes. With 523s quiz I felt like it was easier to finish because we were usually given data set that we could test on, as well as blanks for our code. With 511 this felt a lot more difficult to accomplish and also felt like the exam was vague in what it was asking for in the final answer which is what made it difficult for me, whereas 523 didn’t have this problem. ",Frequently Overwhelming,"I think it’s just a lot, especially when it comes to quiz week. Outside of quiz week, it’s pretty manageable but when it comes to the week of quizzes, having to manage to do all your labs as well as all the worksheets and preparing cheat sheets, going to lectures, going to labs and studying for the quizzes, you barely have time to really do anything else and it can be extremely overwhelming. ",I think the labs and the worksheets and their marking scheme is going pretty well. I feel like they are a good way to get a lot of practice under your belt. The instructions are usually pretty clear for them and they really help you struggle with the material and problem solve. ,"I think the quizzes are kind of hit / miss. I do think it would be nice if we were given more information about what to expect or even how many questions to expect would be helpful. Only one instructor told us how many questions would be on the quiz as well as how many questions would be for each lecture that they covered. I do think that a cheat sheet as well is helpful in preparing to study, but I also feel like in an exam situation, especially under time constraints just having to switch back-and-forth between the tabs that you are working in and where you cheatsheet is located can be detrimental to you. ",I do think that the labs and worksheets that we get have been pretty helpful so far. I also do think it would be nice if we could get extra practice problems for some courses. 
9/22/2024 10:42:26,Neutral,Sequence of lecture/lab is awkward sometimes. Can't do as much in labs on Monday/Tuesday because you have yet to learn the topics for the rest of the week. ,Neutral,,Neutral,,Dissatisfied,"There are too many communication channels (in-class, slack, GitHub issues), and often makes me concerned that I'm missing something. ",Slightly Challenging,,Mostly Manageable,,,,"Quality of the TA does vary a bit. Some actually tries to guide and teach, some just gives guidance on how to do the minimum to pass the auto-grader."
9/22/2024 10:59:48,Neutral,,Very dissatisfied,"I find it outrageous that a simple syntax error results in losing all marks for a coding question. Syntax errors are a common thing in the real world and are easily fixed, we gain nothing from losing all our marks for a syntax. If I wrote the right line of code but accidentally forgot to close a quotation, then giving me a zero on that question implies I did not understand it or did it totally wrong when that’s not the case. ",Neutral,,Neutral,,Very Challenging,,Frequently Overwhelming,,,Marking system is not fair. ,
9/22/2024 11:40:53,Satisfied,,Satisfied,,Very satisfied,,Neutral,,Extremely Challenging,,Frequently Overwhelming,,,"Not consistently having Sundays fully off, which I was given to understand would be possible. I appreciate the deadlines being moved to Sundays to give us more time, but in practice that means we don't *really* have Sunday off. Kind of a lose-lose. ",
9/22/2024 11:58:23,Dissatisfied,I like the structure of the blocks. My main area of dissatisfaction is with the sections. I have struggled to make connections with students from section 1.,Satisfied,,Satisfied,Instructors are very knowledgeable and are great people. There is some room for improvement for some instructors in terms of teaching style.,Very satisfied,,Slightly Challenging,,Mostly Manageable,I can see this becoming less manageable for me as content becomes more difficult in future blocks.,,,
9/22/2024 12:43:47,Dissatisfied,"I feel 511 and 523 took too much time for self learning. I agree that programming language is hard to teach and learn, and there are always so many functionalities. But I just hope we could make the scope more clear. Many lab questions need to look up for external resource. And by given the amount of workload, I don't have enough time to go through the lecture notes carefully. Especially for 523, I feel watching pre-lecture video does help us understanding the content, but during the lecture time, it didn't get covered much, I have to learn a lot by myself. I do like the iclicker questions during the lecture time for 523, that's always interesting and help learning. And for 521, it's hard to follow during the lecture time. I hope we could have more structured examples, and step by step instructions. I like 551 the most. It always follows the lecture notes and covers the content, very organized and clear. Thanks!",Dissatisfied,"I think overall it's well designed and can help us learn. But just like I mentioned above, some lab questions need us to look for external resource, I hope the scope could be more clear. I also have another two points that would like to share. First is about our lab schedule, I hope we could have the lab for the lectures on the same day. For example if I have 511 and 523 on Monday, it makes sense to have 511 lab on Monday as well. But when I have 521 and 551 on Tuesday, the lab is for 523, which makes me feel irrelevant to what I learnt during the day. I feel more comfortable to have the lab for the lecture on the same day. Another thing is about the hand written cheatsheet. I feel we are all adults, even though we came here might have different learning goals, but we know what we're doing. While reviewing the lecture notes and preparing the cheatsheet, it already helps me learning. It takes me too much time to write the cheatsheet in hand, and I feel it's even waste the time, cause I could use that time to do more reading and understanding, rather than focus on submit it on time. Thanks!",Satisfied,"I think our instructors are very supportive, thanks so much! I just hope we could have less mistakes during the lectures and in the lab assignments. For 521, I hope we could have more organized and step by step instructions, sometimes it's hard to follow. For 523, I hope we could cover more content during the lecture, not just the iclicker questions. 551 is the best, well prepared and very organized! Thanks!",Very satisfied,Thanks so much for being so supportive!,Moderately Challenging,"If we don't have to do handwrite cheatsheet it's manageable. But having a handwrite cheatsheet to be submitted by given just one day, it's super challenging and waste our time. ",Sometimes Overwhelming,"I hope when the labs being designed, we could have an estimation about how long time it would take. So the overall workload is manageable and flexible for students from different backgrounds. Thanks!",Thanks so much for being so supportive!,"I hope we could have some time for social and meet friends and enjoy the campus life, rather than everyone is busying with the workload.  ",
9/22/2024 13:24:25,Satisfied,I do wish the CL students weren't divided into two sections since I feel like we could've fit into one class; the structure seems good to me otherwise,Satisfied,I would've preferred getting information about the cheatsheet deadlines etc earlier so that we had more time to plan and prepare,Very satisfied,,Neutral,"the Slack is kind of hard to navigate sometimes, since you'd potentially have to scroll back up past student questions for important course announcements (such as: the autograder for this question doesn't work, this question is misworded, etc; not all instructors are putting this kind of thing in the github issues)",Moderately Challenging,"I see a lot of arts-background students really struggling with the pace of the course, and I hear from CS-background students that it's too easy/boring",Mostly Manageable,,,,
9/22/2024 22:02:48,Neutral,,Dissatisfied,,Satisfied,,Satisfied,,Moderately Challenging,,Frequently Overwhelming,,Instructors are very caring,Cheatsheets take so much time,
9/23/2024 0:51:32,Neutral,,Dissatisfied,I think assessment-wise there can be improvement for our quiz policies. I think if either the quizzes became open-book or were worth less of our grade it would make our program a lot more digestible.,Satisfied,,Neutral,,Moderately Challenging,,Sometimes Overwhelming,,,,
9/23/2024 9:12:37,Satisfied,"About 551 grading, the grading rubics should be emphasized more in the first lab. I didn't get the sense that we have to provide reasoning for every question. Some of questions are really easy and intuitive so I only assign the answer to autograder ones and skipped the hand-writing reasoning. Not until lab2's due past did I realize that we will get points deducted because lab1 grade was released after that. And I talked to a few persons they were in the same situations as me.

As a CL student I would prefer taking class with V-students at 9:30 instead of dividing us into a separate sections and taking class at 8am. It's really early. I feel like starting lectures at 9:30 is a much more reasonable schedule.",Very satisfied,,Neutral,"521's structure is unclear. Often times I'm lost in lectures when following prof's instrcutions even sometimes I'm already familar with the tools. Labs are also a bit unclear about its goals. But I can get what it is about after finishing them.

511's contents is a bit packed. Prof often couldn't finish the contents. But I'm ok with that I can work on it myself after lectures. 

523 has the best pace and instructions.",Very satisfied,,Moderately Challenging,,Mostly Manageable,,sticking to the schedules helps a lot. And the mandatory pre-lecture videos and pre-quiz really helps me with managing the pace.,,
9/23/2024 10:32:54,Satisfied,,Satisfied,Quiz week should not have classes or labs. It becomes too tight schedule,Satisfied,,Very satisfied,,Very Challenging,More time needs to be given to get used to new tools like Git. A basic course had to be taught first before moving onto courses like R,Frequently Overwhelming,"Deadlines need to be extended to Sunday night , so we have enough time to complete all labs and worksheets","Course material , labs , instructors","Timelines , deadlines to submit lab assignments",
9/23/2024 10:57:23,Neutral,"I believe learning Python and R simultaneously can be confusing because many functions are similar, making it easy to mix up the two languages. Additionally, the learning resources are scattered across different platforms, which can be disorganized and lead to missing important information. For instance, when we need to find something, we often have to manually search through Slack history.",Satisfied,"It would be helpful if instructors could show us where we went wrong instead of just providing grades for the labs, so that we can better understand our mistakes and get more specific feedback.",Satisfied,,Satisfied,,Moderately Challenging,"some labs are really time-consuming and difficult to finish, as well as quizzes, 50minutes are not enough to finish.",Sometimes Overwhelming,,,,
9/23/2024 10:58:08,Dissatisfied,,Dissatisfied,,Dissatisfied,,Dissatisfied,,Very Challenging,,Extremely difficult to manage,,,,
9/23/2024 11:01:18,Neutral,,Dissatisfied,"dissatisfaction comes from attaching a grade to all activities (attending class, completing worksheets). Overall the course feels tightly constrained with little flexibility to do work weeks ahead of time, or later based on my schedule.",Satisfied,"At this point the content is signposting what functions exist, given my experience instruction isn't helpful, I'll have to see when it comes to content I can't understand on my own. Put satisfied since instructors are friendly, on time, and clear.",Dissatisfied,So many different platforms.,Not Challenging at all,,Mostly Manageable,,Content so far is clear enough as being relevant to work afterwards.,,
9/23/2024 11:02:59,Very dissatisfied,The Platforms course should have videos and the lecture time should be about discussions surrounding Git and other software technologies and to debate the use of software within situations. And discussing quiz questions ,Neutral,,Very satisfied,,Neutral,,Extremely Challenging,,Frequently Overwhelming,The Platform for the exam with respect to math problems is difficult to use,,,
9/23/2024 11:28:14,Satisfied,,Satisfied,,Satisfied,,Satisfied,,Slightly Challenging,,Mostly Manageable,,"4 day classes. Getting a 3 day weekend! Also, extending the lab deadlines during quiz week was very helpful.",,
9/23/2024 11:51:05,Dissatisfied,Things keep changing. I was expecting this program to be more organized,Satisfied,But some labs are too advanced for what we really learned and there is no time for us to do deep research as we are running to submit things,Dissatisfied,"Some lectures are just boring, difficult to follow. Sometimes, I have no idea what is going on. I have to teach myself  most of the time. And once again, I don't have enough time to do so because of deadlines",Satisfied,,Very Challenging,,Frequently Overwhelming,,Teaching myself ,Labs! ,"The non verbal cue you get when you approach them to ask a question is not great.(Like why the heck they are talking to me, they vibe is off)"
9/23/2024 12:19:54,Neutral,One problem is that we usually have a lab containing all the contents for that week before we take all the lectures. Another one is both 511 and 523 start with data frame. Students who haven't learned Python or R can easily get confused with the basic data type and grammar.,Satisfied,,Neutral,I think sometimes we cannot cover all the contents in the lecture. And we have to study by ourselves.,Satisfied,,Very Challenging,"As for quiz 1 of 511, it would be better if the code to set up the data frame can be provided. Because during the quiz, we do not have time to set up the data frame by ourselves. So we cannot test the code.",Frequently Overwhelming,,I think I did learn some programming skill.,,
9/23/2024 12:50:08,Very dissatisfied,,Neutral,,Neutral,"I think some professors do not properly cover all that's needed in the lectures (i.e. they just didnt make it to covering that part during lectures or just explained it in 1 or 2 sentences without elaboration which doesnt help us properly digest what we were just taught), which is a disservice and unfair especially if they plan to put that topic on the quiz.",Dissatisfied,"For one way communications, it's better to just utilize the canvas announcement system rather than slack tbh.",Very Challenging,,Sometimes Overwhelming,,"I do think the professors are trying to support us the best way they can, which is nice. But some things aren't effective.",Due date being at 6 pm is annoying,
9/23/2024 14:21:16,Satisfied,,Dissatisfied,,Neutral,,Satisfied,,Very Challenging,,Extremely difficult to manage,,,"Labs and worksheets during 1 quiz week, handwritten cheatsheets",
9/23/2024 19:09:09,Satisfied,"I was surprised I ran out of time, yet I am a bit conversant with programming. I can't imagine how much harder it would be for people without a day-to-day programming experience to solve some of the Python and R coding questions in the required time. IMHO, I do not think speed of execution should be a priority (now) - at least not that fast",Satisfied,"Rather than later additional Quiz slots (on Saturday), I would appreciate some slots on Monday, even if it were to be from Monday afternoon.",Satisfied,,Very satisfied,,Very Challenging,,Frequently Overwhelming,,The labs are very useful in reinforcing the skills we will need,"The method used for 523 (watching videos + pre-quiz) is good. However, I do not think doing the pre-quiz should be mandatory. I also think the instructor can go a bit more into detail about the material - right now it seems that we are expected to learn more from the videos than in class.",
9/24/2024 10:13:52,Neutral,kinda messy ngl,Neutral,its ok,Neutral,depends on the course,Satisfied,pre good,Slightly Challenging,,Mostly Manageable,,,remove the cheatsheet pls,
9/24/2024 10:14:22,,,,,,,,,,,,,,,
9/24/2024 10:14:41,Very satisfied,,Satisfied,"Quizzes 1 are disproportionately harder than quizzes 2 since you need to prepare their cheatsheets and take them while also taking care of lectures, labs, and other assignments",Very satisfied,,Very satisfied,The quick and very helpful responses on Slack are massively appreciated!,Moderately Challenging,,Sometimes Overwhelming,Week 3 is particularly overwhelming due to having 4 quizzes worth 20% each on top of everything else which is already a lot on other weeks.,,"I don't appreciate the flipped teaching method for DSCI_523. When I find the time to watch the lecture videos I feel attending the lecture is pointless, and when I don't watch the video I feel lost during the lecture.",Overall I am learning a lot and enjoying the program. Thank you very much for your hard work!
9/24/2024 10:16:28,Very dissatisfied,3 times the workload I had in another Canadian university ,Very dissatisfied,not fair at all,Very dissatisfied,some random icliker topic never learnt before class,Very dissatisfied,not effective,Very Challenging,very heavy workload,Extremely difficult to manage,very heavy workload,,,
9/24/2024 10:18:25,Satisfied,Overall I think the structure makes sense. My only feedback is to consider moving lecture 1 content of dsci 521 into orientation (ie git opearations),Satisfied,,Satisfied,The current version of the reverse format of dsci 523 is such that lectures essentially become just about iclicker participation rather than expanding on the content from the videos and lecture notes,Satisfied,,Slightly Challenging,,Mostly Manageable,,frequent communication and availability of instructors,,
9/24/2024 10:20:18,Satisfied,"There should be a lesser burden, less assignments in week 3's Quiz.

Maybe shorter labs and no worksheets for week 3.",Neutral,Instead of cheatsheet it should be open web book.,Very satisfied,,Very satisfied,,Very Challenging,,Frequently Overwhelming,,Lectures are very good. Tecahers and TA are helpful,Week 3 burden and 8 am classes can be a bit hectic,
9/24/2024 10:20:36,Satisfied,,Neutral,,Neutral,,Very satisfied,,Very Challenging,,Extremely difficult to manage,,,,
9/24/2024 10:25:05,Dissatisfied,,Neutral,,Dissatisfied,,Satisfied,,Moderately Challenging,,Mostly Manageable,,,,
9/24/2024 10:32:25,Neutral,The break between this term and next term is too short that I can't make vacation plans.,Dissatisfied,2 worksheet and 1 lab for 511 and 523 is a little bit too much. And limit the cheat sheet to one page is too much.,Satisfied,sometimes lecturers teaches too fast in the class(521) and we can't follow. ,Very satisfied,The whole team is very responsive and supportive. However the slack channel's message(notes/important notice/student questions/announcements) are all mixed together and we can't locate the important notice right away. It is very easy to miss some important message.,Slightly Challenging,,Mostly Manageable,,The teaching team is very supportive and respond to the messages quickly,two worksheet and one lab in 511 and 523 are a little bit too much,
9/24/2024 10:55:13,Dissatisfied,,Dissatisfied,,Dissatisfied,,Dissatisfied,,Very Challenging,,Frequently Overwhelming,,,,
9/24/2024 11:06:11,Satisfied,,Satisfied,,Neutral,"All profs are very passionate.
Tiff and Alexi are experienced. 
Andy and Gittu are trying their best, but there is a room of improvement.",Very satisfied,"The staff (TA, course coordinators) and instructors are very responsive, open to feedback, and willing to make adjustment. Which is good.",Slightly Challenging,"Not very difficult, but I'm sure that the structure can be more well organised.",Sometimes Overwhelming,"Instructions for assignments can be more concise, sometimes the instructions are too long, too hard to understand and catch all the requirements.",Course mechanics and administrations are flexible and thoughtful.,,
9/24/2024 15:01:44,Neutral,,Neutral,,Neutral,,Satisfied,,Extremely Challenging,,Extremely difficult to manage,,,,
9/24/2024 16:52:42,Satisfied,,Satisfied,,Satisfied,,Satisfied,,Extremely Challenging,,Extremely difficult to manage,,The lecturenotes are clear and detailed.,"Lots of homework, no lecture recording.","I extremely hope there are lecture recording so that I can review the course or check the content that I didn’t catch up with at the time. And if the weekly homework ddl would be changed to Sunday night, I would really appreciate it."
9/24/2024 18:06:07,Satisfied,,Satisfied,,Satisfied,,Satisfied,,Moderately Challenging,,Sometimes Overwhelming,,"Been able to complement lectures with the notes, the lectures notes are very explanatory","applying some learnings, basically 551 has been challenging, I find it difficult to translate to real life hence making it really tough",the instructors are doing very great job
9/24/2024 18:27:14,Neutral,I wish lab feedback and solutions could be provided earlier to help with review before quizzes.,Neutral,,Satisfied,I enjoy the energy and enthusiasm shared by the lecturers. I think the pace is reasonable. ,Satisfied,I appreciate the feedback provided by the instructors and course coordinators on slack when questions or concerns are brought up.,Moderately Challenging,,Sometimes Overwhelming,"I find myself working till 10pm at night to complete one lab a day (the pace that I set for myself). Not really any feedback, but just providing a data point for the student reps / instructors.",I enjoy the structured learning environment alongside the pressure to learn things quickly.,Maybe its just the start of the program but I still don't have a good understanding of when grades get released.,
9/24/2024 19:41:54,Dissatisfied,"I think the use of autograders defeats the purpose of writing code. Code is highly individual, and people write it in many different ways, but the autograder only checks for specific cases. Someone may have added extra functionality to their code, but they could still fail the autograder test",Very satisfied,,Satisfied,,Satisfied,,Extremely Challenging,"I think the questions for 551 are extremely challenging compared to the course curriculum, and given the limited time we have to complete everything, there should possibly be a change in the lab design or deadlines.",Sometimes Overwhelming,,"1. Well effective communication
2. Strict deadlines
3. Helpful instructors and TA's",,
9/24/2024 20:09:11,Neutral,"the grading is too slow. With slow feedback we could make the same mistakes again in the next lab. 
and it is also too strict. I feel like it is not checking whether I properly apply what I learned but those unnecessary details. 
for example, sometimes questions require you to “explore” stuff but did not specify what reasoning or steps you need to provide. then point’s get docked for not being detailed enough. ",Very satisfied,,Satisfied,,Satisfied,,Moderately Challenging,,Mostly Manageable,,,,
9/24/2024 20:17:59,Satisfied,,Satisfied,,Satisfied,,Satisfied,,Slightly Challenging,,Mostly Manageable,,,,
9/24/2024 21:32:26,Neutral,,Dissatisfied,open book would be better ,Dissatisfied,The pace is too fast,Neutral,,Extremely Challenging,,Extremely difficult to manage,,,,
9/24/2024 22:02:59,Neutral,"It is intense, as well as too much self-learning. Hopefully there could be more lecturing instead of starting the class by iclicker questions asking what has not been taught yet. ",Neutral,"week 3 is too overwelming, labs , quizzes, worksheets, lectures all happening at the same time",Neutral,"To be frank, some instructor seems to need more teaching practice before teaching graduate students. An instructor should know what the students are expecting from him, rather than just simply demonstrating. The course contents need to be explained more clearly and with more coherent elaboration too. ",Satisfied,"So far so good, but eamils would be more formal and clearer than slack for important notices.",Extremely Challenging,"schedule too tight, not enough time to walk through the course materials and self-reflection",Frequently Overwhelming,lighter workload please,"The academic coordinating team is honestly open to feedback and concerns, love you guys for this!",big leap between what is covered at class and lab questions,if possible reset the sections for each block so we can know our peers!
