Timestamp,What sports would like you like me to plan in the upcoming weeks? ,What is your skiing level? (only answer the following if you are interested in going skiing) ,"How much are you willing to spend in total? (Rentals, tickets, transportation etc...)",Where would you rather go? ,What social events would you like to be plan in the upcoming weeks? ,"If you have not attented a social event yet, why do you think that is? ","Q1: How satisfied are you with the structure of the program? (potential areas to think about: course logistics, grading system, division into sections, etc.)

Note: DO NOT INCLUDE YOUR FEEDBACK ON THE DIFFICULTY OF THE COURSE (that's for another section)","If you have anything to share for Q1, please use the space below to share your feedback","Q2. How satisfied are you with the assessment structure of the program? (potential areas to think about: cheatsheets, exam dates and availabilities, labs and worksheets, etc.)

Note: DO NOT INCLUDE YOUR FEEDBACK ON THE DIFFICULTY OF THE EXAM (that's for another section)","If you have anything to share for Q2, please use the space below to share your feedback","Q3. In general, how satisfied are you with the Instructors and Instruction Quality of the program? (potential areas to think about: lecture pace, areas of excellence, areas of improvement, etc.)","Q4. How satisfied are you with the Communication Method/Effectiveness of the program? (potential areas to think about: using Slack, using course-specific websites, etc.)","If you have anything to share for Q4, please use the space below to share your feedback","Q5. How challenging has the program been thus far? (potential areas to think about: the difficulty of lectures, the difficulty of the labs/worksheets, the difficulty of the exams, etc.)","If you have anything to share for Q5, please use the space below to share your feedback","Q6. How has balancing the course workload been so far? (potential areas to think about: lectures, pre-lecture workload, labs, worksheets, etc.)","If you have anything to share for Q6, please use the space below to share your feedback","If you have anything else to share with the instructors and program facilitators, leave your comment/feedback here! ","DSCI 513 - Database (Gittu - Lectures)
In one or two sentences, constructively, what's working well in the course? ","DSCI 513 - Database (Gittu - Lectures)
In one or two sentences, constructively, what could be improved about this course?","DSCI 513 - Database (Andy - Labs)
In one or two sentences, constructively, what's working well in the course? ","DSCI 513 - Database (Andy - Labs)
In one or two sentences, constructively, what could be improved about this course?","DSCI 522 - Data Science Workflows (Daniel)
In one or two sentences, constructively, what's working well in the course? ","DSCI 522 - Data Science Workflows (Daniel)
In one or two sentences, constructively, what could be improved about this course?","DSCI 561 - Regression (Payman)
In one or two sentences, constructively, what's working well in the course? ","DSCI 561 - Regression (Payman)
In one or two sentences, constructively, what could be improved about this course?","DSCI 573 - Feature & Model Selection (Joel)
In one or two sentences, constructively, what's working well in the course? ","DSCI 573 - Feature & Model Selection (Joel)
In one or two sentences, constructively, what could be improved about this course?",How stressful do you find the block 3?,What is the biggest challenge affecting your mental health this block? ,What additional mental health resources or services would you like to see provided?,"How would you rate your interest in attending the following career-related events, with 1 being the least interested and 5 being the most interested? [Resume/CV Workshops]","How would you rate your interest in attending the following career-related events, with 1 being the least interested and 5 being the most interested? [Mock Interviews]","How would you rate your interest in attending the following career-related events, with 1 being the least interested and 5 being the most interested? [Industry Networking Events]","How would you rate your interest in attending the following career-related events, with 1 being the least interested and 5 being the most interested? [Job Search Strategies]","How would you rate your interest in attending the following career-related events, with 1 being the least interested and 5 being the most interested? [Technical Skill Development]","How would you rate your interest in attending the following career-related events, with 1 being the least interested and 5 being the most interested? [Soft Skills Development]","If you had a one-on-one session with our MDS Career Advisor, please share your feedback.",How would you rate the workshop overall?,How relevant was the content  to you?,What was the most valuable insight or learning you gained from the workshop?,What topics or issues would you like to see covered in future workshops?
11/26/2024 10:51:16,badminton,,,,"KTV, dinner",Too overwhelmed by academic workload,Satisfied,"Need a lot of self learning to do lab questions. There is no time to read lecture notes during the week, because we are too busy with the lab, but reading lecture notes actually help. ",Satisfied,,Satisfied,Very satisfied,,Very Challenging,,Frequently Overwhelming,,,,,,,,,Payman is very organized and always demonstrate lecture notes clearly. Easy to follow. ,,,I hope if Joel could emphasize the important part during the lecture. Sometimes it's hard to follow.,8,Academic pressure,,4,4,4,4,4,4,not yet,3,3,,
11/26/2024 10:51:49,Skiing,Never skied,50-100,Grouse,Clubbing,Too overwhelmed by academic workload,Satisfied,,Satisfied,,,Satisfied,,Very Challenging,,Sometimes Overwhelming,,,Okay,,,,,,,,,,8,Academic pressure,Games in between classes,5,5,5,5,5,5,Not yet,5,5,,
11/26/2024 10:51:54,Checkers,Never skied,70,no preference,An ugly sweater competition,,Dissatisfied,Model and Feature Selection is a course based on complex concepts that everyone would have a different interaction with previous to this Masters. How I remember and interact with the information would be very different from others. The standardization of the cheatsheet seems like a handicap,Neutral,For Regression 1  some additional practice for the quizzes would be greatly appreciated,Satisfied,Satisfied,,Very Challenging,,Sometimes Overwhelming,,,Gittu is amazing,nothing,,,,The book in its current state is a little intimidating and I could do with more explicit direction,He is very good at teaching,I would like more practice to ensure I am understanding the concepts . May be a post lecture quiz of questions like what would come on the exam.,The could notes are very good.,I could do with some practice for this course because it seems very subjective. ,7,"Academic pressure, Lack of sleep, Pacing of the labs",,5,5,5,5,5,5,np,2,2,I don't know which is part of the issue,
11/26/2024 10:53:32,deadlifting,Never skied,100,Whistler,,Timing conflict with other commitments,Dissatisfied,I think time given for labs are way less and the deadlines are too strict. I still the deadlines should be the next week so that students can actually spend time on learning labs and be efficient. For week 4 it can be the same week.,Satisfied,,Very satisfied,Satisfied,,Very Challenging,,Frequently Overwhelming,,,I know SQL. I have not gotten time to go through the lecture notes,,,,,,,,,The lab length can be shortened,8,Lack of sleep,,5,5,5,5,5,5,NA,5,5,,
11/26/2024 10:53:48,Football or volleyball.,Never skied,$100,Whistler,,Timing conflict with other commitments,Satisfied,Less autograder and more actual valuable feedback from instructors and TAs,Satisfied,,Satisfied,Very satisfied,,Moderately Challenging,,Frequently Overwhelming,"Week 3 is always too overwhelming because we have to attend lectures, work on labs and cheat sheets, and take quizzes for lectures 1-4, while the rest of the work is on lectures 5-8.",,,Spend more time explaining theoretical concepts to understand motivation behind certain techniques before diving into the code demos.,,,,,,I don't like how we sometimes use up some lab time to go through lecture slides that we could not complete during lecture time. I would rather review them on my own time and spend lab time actually doing the lab.,Explains motivation before teaching concepts. Leaves room for discussions.,"While I appreciate a cheatsheet being made for us, I wish I had the freedom to choose between it or custom-made one by myself.",2,"Lack of sleep, Lack of sleep is not necessarily related to the program, just a personal issue I'm working on.",,2,5,3,4,3,2,Nope,3,3,,
11/26/2024 10:55:08,,Never skied,,,,"Too overwhelmed by academic workload, Not interested, Timing conflict with other commitments",Satisfied,,Neutral,,Neutral,Neutral,,Moderately Challenging,,Mostly Manageable,,,,,,,,,,,,,5,None,,4,4,5,5,3,3,The advice provided seems generic and couldn't provide more info on the current state of the data science job market. ,4,3,,cultural identities/communication
11/26/2024 10:56:17,Any indoor game,Never skied,10,,Am open to anything,Timing conflict with other commitments,Neutral,,Neutral,The labs are long and 573 is not being friendly at all,Satisfied,Satisfied,,Very Challenging,I try to learn but the things are a lot and difficult to cover all,Frequently Overwhelming,,,"I think this course is okay, perhaps because I have a bit of prior knowledge",The content covered in class and the content of lecture slide is very different. We discuss something small in lectures and you feel you got it but get to slides and its like you did nothing,Have only had 1 lab too far so can't tell,Have only had 1 lab too far so can't tell,He is too good. He knows what he is teaching and its nice following but its a lot of knowledge being poured so overwhelming,Its good too far,He is good and I love his teaching,A little energy will be helpful though,Am struggling to keep up,I don't know honestly,7,"Academic pressure, Lack of sleep",,5,5,5,5,5,5,Have not,5,5,Sometimes we do things and think its normal but negatively affect others,open minded
11/26/2024 10:59:07,volley ball,Never skied,$50,Whistler,Get together,,Satisfied,,Satisfied,,Satisfied,Very satisfied,,Very Challenging,,Sometimes Overwhelming,,"Please bring back Move-U crew, some classes get boring",it's all good,Please try to cover all the content with more examples,Good,Nil,Good teaching,Pace too fast for beginners,Very good lectures,Nil,Not so sure,better explanations and more examples,6,Academic pressure,,5,5,5,5,5,5,nil,3,3,I did not attend,
11/26/2024 11:04:50,skiing,Never skied,500,,,"Too overwhelmed by academic workload, Not interested",Dissatisfied,winter break too short,Dissatisfied,"for some course, 2 worksheets + lab is too much",Dissatisfied,Very satisfied,,Moderately Challenging,,Frequently Overwhelming,Sometimes professors can't cover all the material in lectures and require lots of extra time to read the lecture notes before and after ,,"database commands are very clear, good for new learners",would be great if provided an overall database command cheatsheet,Haven't meet Andy in the lab yet he was away for the first week,,Daniel is very professional and kind,"Lecture nots seems a little bit unorganized, didn't specify which content refers to lecture 1/2...",Payman was explaining many details in the lectures,Many lecture notes were not covered and professor can't finish the lectures in time,"Presentation slides are very good, gives an overall general topic of the lecture notes",Homework too long,6,None,,4,5,2,4,5,5,No,3,3,,
11/26/2024 11:20:29,Badminton,Average,Don't know,Whistler,,"Too overwhelmed by academic workload, Timing conflict with other commitments",Satisfied,I really like the flow of the program so far. I see myself using the knowledge gained from blocks 1 and 2 being applied to block 3 pretty consistently. ,Satisfied,I'm getting used to the deadlines and quizzes. I've managed my personal expectations that I will be working 6-7 days a week.,Satisfied,Satisfied,I feel the instructors have stepped up in terms with their communications on slack. I appreciate that a lot.,Moderately Challenging,I do find some of the labs to be quite long i.e DSCI_573. ,Sometimes Overwhelming,,,The material is concise and to the point.,N/A,I like the labs a lot. Practical and to the point.,N/A,I enjoy the live demos.,Wish there was more guidance on the project,The material is concise and practical,The notes can be confusing to read sometimes,Super interesting topic. I thoroughly enjoy it.,Labs could be made shorter.,7,"Academic pressure, Lack of sleep",Nothing,4,5,3,4,5,3,I haven't had one yet.,3,2,"Learning the formal terminology about ""oppression""",
11/26/2024 11:54:34,,Never skied,30,Whistler,,"Too overwhelmed by academic workload, Timing conflict with other commitments",Satisfied,,Satisfied,,Satisfied,Satisfied,,Moderately Challenging,,Sometimes Overwhelming,,,,,-,-,understood what he explaon,,,,,,5,"Academic pressure, Lack of sleep",,4,3,4,4,4,4,-,3,3,,
11/26/2024 11:58:04,Basketball,Advanced,100$,Whistler,,Timing conflict with other commitments,Neutral,,Neutral,,Satisfied,Dissatisfied,,Moderately Challenging,,Frequently Overwhelming,,,,,,,,,,,,,7,"Personal issues, Lack of sleep",,2,2,3,1,2,2,I didnt,3,2,,
11/26/2024 11:59:43,badminton,,20,Whistler,,"Not interested, Timing conflict with other commitments",Satisfied,,Neutral,some courses can't write our own cheatsheet,Satisfied,Satisfied,,Moderately Challenging,,Frequently Overwhelming,"for quiz week, we need to attend lectures, do labs and review for quizzes",,go through notes in details,go through codes via demos,,,go through codes step by step,,detailed lecture,,ppt instead of ntoes,"add more contents from notes, align more with notes",6,Academic pressure,,4,4,4,4,4,3,i don't have,3,3,,
11/26/2024 12:08:05,,,,,drinking ,,Dissatisfied,I don't like the sectional division,Dissatisfied,some quizzes have been focused too heavily on memorization rather than concepts,Satisfied,Dissatisfied,slack messages are soo easy to forget about or miss,Moderately Challenging,,Sometimes Overwhelming,,"It's very furstrating to constantly see spelling errors, grammatical mistakes in lecture notes and it's espcially frustrating when the solutions or autograder is not correct. We as students shoudlnt' have to spend hours debugging a lab when the autograder itself is actually wrong. ",,,,,,,the engagement and asking students if we have questions is really effective in learning,,I appreciate that joel tries to make an effort to keep the class engaged throughout the lecture.,There's way too much material in this one course. It seems like the labs are also super dense and I spent a whole day working on it. If the labs could be shorter that would be great. ,8,Academic pressure,,5,3,5,5,4,4,N/A,3,,,
11/26/2024 14:01:16,Soccer,Never skied,250,Grouse,Pub Night,"Timing conflict with other commitments, Transportation or accessibility issues",Very satisfied,,Dissatisfied,"Some courses content amount is excessive. 573 Lectures don't cover even half of Lecture Notes. Adding Labs, and quizzes seems overwhelming.",Satisfied,Satisfied,,Very Challenging,,Sometimes Overwhelming,The only way to avoid feeling overwhelmed is by spending all day and weekdays focused on MDS.,"I continue to question that the is a 10 month program. Along with great content and instructors, the aim to finish this amount of work in 10 month has a cst that is too high on mental health and school-life balance.",Lecture Notes,Having more available examples at the level of complexity of labs.,,,Demo Lectures,Book can often miss information relevant to follow instructions.,Well structured. Balanced workload.,More descriptive lecture notes.,Detailed lecture notes,Excessive amount of material to be covered in single lectures. Lack of clarity over what's optional and what isn't.,6,"Academic pressure, Lack of sleep",,4,2,4,4,3,2,NA,5,5,,
11/26/2024 14:13:04,,Never skied,,Whistler,Karaoke,Not interested,Satisfied,,Neutral,,Satisfied,Satisfied,,Moderately Challenging,,Frequently Overwhelming,,,Interactiveness,N/A,N/A,N/A,In class demos,The reading materials are a bit hard to understand for students with no cs backgrounds,,,Interactiveness,The slides order deviate from notes too much,5,Lack of sleep,,4,3,3,4,4,4,Not yet,3,4,,
11/26/2024 15:22:43,,Never skied,,,,Timing conflict with other commitments,Satisfied,,Satisfied,,Satisfied,Satisfied,,Moderately Challenging,,Mostly Manageable,,,,,,,,,,,,,5,Lack of sleep,,4,3,4,3,4,4,"As a CL student I believe I met with a different advisor. She was good, though, she gave me good advice and actionable goals.",3,3,,
11/26/2024 16:53:23,NA,Never skied,NA,Grouse,Christmas party,"Too overwhelmed by academic workload, Timing conflict with other commitments",Satisfied,NA,Satisfied,NA,Satisfied,Satisfied,NA,Very Challenging,NA,Frequently Overwhelming,NA,NA,,,,,,,,,,,7,"Academic pressure, Personal issues, Lack of sleep",NA,4,5,4,4,4,5,NA,4,2,NA,Time Management
11/27/2024 9:43:58,,Never skied,20,Whistler,,Too overwhelmed by academic workload,Dissatisfied,"The structure of 522 seems a bit unorganized. In B1 and B2, all the upcoming works for the week were released by Monday usually. But for 522, that’s not the case. Also, moving between canvas and GitHub so much seems like a hassle. All other courses release weekly lab as a GitHub repository. I feel releasing milestones that way would have been good too or at least connecting the course webpage/textbook to a repository as in other courses.",Satisfied,,Satisfied,Satisfied,,Moderately Challenging,,Sometimes Overwhelming,,,Going through each type of SQL query works well. I am also happy it’s not a flipped classroom.,Hope Gittu gets better.,,,I feel the pipeline making with GitHub actions was useful. Looking forward to learning more of such toools.,Release materials earlier.,Payman refers back to core concepts often when teaching new concepts. It helps tie things properly!,,,Labs are too long.,7,Academic pressure,,4,1,1,4,4,1,Na,5,5,,
11/28/2024 10:26:10,badminton,Average,250,Grouse,Party,Too overwhelmed by academic workload,Neutral,Quizzes weights are too much,Neutral,,Neutral,Satisfied,,Very Challenging,,Extremely difficult to manage,,,Great,More practice questions,Nothing comes to mind,Not helpful. More demos,Great teacher,,,,,,10,Academic pressure,,5,4,3,4,4,3,-,3,5,,
