Timestamp,Feedback/Experience on using/creating Cheatsheet for exams,What about it is/isn't working about the cheatsheet. Please be as specific as possible.,Possible Alternatives to current method of using cheatsheets
9/23/2024 13:23:34,1,"The changes on it cannot be written on iPad, must be physical, and handed it. I think it's a cheatsheet, then there shouldn't be so much rules. As long it's handwritten and the size fit, that should be all the rules.  ","Fully open book exams - no more cheatsheets, Ability to digitally type cheatsheets, As long it it fits on a letter sized paper, it is a valid cheatsheet. "
9/23/2024 13:24:53,6,,"Fully open book exams - no more cheatsheets, Course notes only during exams - no more cheatsheets, Ability to digitally type cheatsheets"
9/23/2024 13:50:58,6,"I personally did not have any issues with the cheatsheets for quiz 1. However, I did noticed that it gave a lot of my peers some anxiety (the regulations, and deadline). And now that there are new guidelines for quiz 2, this makes it easier for students to get confused and stressed. 

I don't fully understand the reason why we have to upload a digital cheatsheets and then use them on the exam. Why not simply take a physical cheatsheet to the exam and the invigilator can check if its one sheet of paper with content on one side of it. This way there is no deadline to have cheatsheets ready, and eliminates any technical problems.

Also, I dont think there is a big difference between A4, letter, and legal size paper. Although sizes are different. Using a larger paper should got give someone a noticeable advantage in the quiz over someone that uses a smaller size paper. For my cheatsheets, I did not even use the full page .

Moreover, it seems that all the rules around cheatsheet create more confusion. I personally think making it simple would help students and teaching staff. The simplified rules would be:
1) handwritten notes on one side of legal size paper.
2) if some students cannot have handwritten notes, they can use ipad or other tools to create the cheatsheet and print it one side of legal size paper.
3) students will then take the physical cheatsheet into the exam.
4) the exam invigilator will look at cheatsheets to ensure that they are handwritten and on one side of the paper. If not, student will not be allowed to take cheatsheet in.

This way teaching staff wont have to go through every cheatsheet submission.","1) handwritten notes on one side of legal size paper. 2) if some students cannot have handwritten notes, they can use ipad or other tools to create the cheatsheet and print it one side of legal size paper. 3) students will then take the physical cheatsheet into the exam. 4) the exam invigilator will look at cheatsheets to ensure that they are handwritten and on one side of the paper. If not, student will not be allowed to take cheatsheet in."
9/23/2024 14:01:00,7,,Ability to digitally type cheatsheets
9/23/2024 14:18:22,5,I think handwriting cheatsheet wastes too much time.,Fully open book exams - no more cheatsheets
9/23/2024 14:33:06,1,"1. I don't understand why cheatsheets need to be handwritten, uploaded as an image file and cannot be handed in in-person on the exam day. I was wondering in what ways could any of these criteria help prevent cheating or provide efficiency or convenience to students, instructors, or the testing facility. 2. For courses like 523 and 511, my cheatsheet consisted of function names, specific syntax, and how they work. This doesn't represent how things are if you are coding at work where there is no need to memorize functions since the information can be easily found on Google, StackOverflow, or in package documentations. I wonder the relevance of testing such materials in real life scenarios. 3. If cheatsheets contain information from lecture notes in general, I don't see the difference between having a cheatsheet during the exam and having an open-book exam. It seems like we are just copying the same content over onto a piece of paper. Exams can be focused more on testing the extent to which a student digests the materials and is able to apply them in situations and less on memorizations.","Fully open book exams - no more cheatsheets, Course notes only during exams - no more cheatsheets"
9/23/2024 15:04:16,1,"In practice we would never code without constantly looking up online documentation/stack overflow, so using cheatsheets for programming-related contents are pretty ineffective. However, cheatsheet for theoretical courses like Statistics is fair.","Fully open book exams - no more cheatsheets, Course notes only during exams - no more cheatsheets, Ability to digitally type cheatsheets, Each course should provide a standardized cheatsheet"
9/23/2024 15:29:42,7,,"Ability to digitally type cheatsheets, Each course should provide a standardized cheatsheet"
9/23/2024 15:30:26,1,No time to prepare them. ,Fully open book exams - no more cheatsheets
9/23/2024 15:45:28,8,"Honestly, the cheat sheet system seems quite reasonable. its nice to be able to bring some notes into the exam so i don't have to mess around with the syntax, and personally, I've found that handwriting them helps me concretize the purpose each function. The only issue i have is that its going to be quite a bit of manual effort to physically write 4 cheat sheets every few weeks. But also whatever is decided, I'm happy to go along with",
9/23/2024 15:48:49,5,Rules seem to change in order to ensure everyone has a cheatsheet with a similar format. Then why not standardize on the cheatsheet itself by only allowing lecture material of a course-provided cheatsheet? ,"Course notes only during exams - no more cheatsheets, Ability to digitally type cheatsheets, Each course should provide a standardized cheatsheet"
9/23/2024 16:09:30,2,"time-consuming, takes up time from the actual comprehension part of the review.","Fully open book exams - no more cheatsheets, Course notes only during exams - no more cheatsheets, Ability to digitally type cheatsheets"
9/23/2024 16:48:01,2,"I found the process of creating the cheatsheet extremely time-consuming, as I had to focus heavily on formatting and handwriting everything, which was especially challenging given the strict timeline. ","Ability to digitally type cheatsheets, Each course should provide a standardized cheatsheet"
9/23/2024 16:48:29,6,,"Course notes only during exams - no more cheatsheets, Each course should provide a standardized cheatsheet"
9/23/2024 16:56:43,3,"So far from what I feel from the exam——the cheatsheets have a very “limited” help on my exam. The only way I can use it is to look for certain function/variable’s name, or equations, just to assist my memory. The point that I feel problematic is that I have to dedicate a large amount of time just to predict what could be useful for me, and write it on paper. This could be useful for me to remember it. But it’s just too much time cost and too little reward. I would be happy if we can have a more “useful” material with less time on preparing, OR I would really agree on having a “standardized“ version. That would be the best options","Fully open book exams - no more cheatsheets, Course notes only during exams - no more cheatsheets, Each course should provide a standardized cheatsheet, Just give us a way of using less effort to do that"
9/23/2024 17:00:32,8,"the current system seems fine with me - moreso now with the addition of typed (8 pt); as someone who handwrites mine on lined paper, I don't feel like it affects me whether other people have ""too much"" info on theirs","Ability to digitally type cheatsheets, Each course should provide a standardized cheatsheet"
9/23/2024 17:11:51,,"Just to add: From my previous experience at UIUC, which has similar exam process using prairielearn and has frequent quizzes. Everyone could publish their own cheat sheet. And everyone would vote to select the best one. Then everyone would use that same cheat sheet for the quiz. The student who makes the best cheat sheet would get 0.5 or 1 extra credit as a reward. In my opinion that’s a great system and ensures fair competition with less effort.",Each course should provide a standardized cheatsheet
9/24/2024 8:15:55,10,"Permission to refer back to previous cheat sheet, e.g., for quiz 2 I can refer to cheat sheet 1 (from quiz 1) and 2. Thus will allow us to relate to overlapping concepts during the exams ",
9/24/2024 10:10:57,7,Don't like the online PDF format as opposed to having a physical cheatsheet.,"Course notes only during exams - no more cheatsheets, Ability to digitally type cheatsheets"
9/24/2024 10:20:45,10,everything is working,"Ability to digitally type cheatsheets, Each course should provide a standardized cheatsheet"
9/24/2024 11:07:16,7,"Please allow more time for us to create the cheatsheets. The fact that they need to be done prior to the studying period for each exam is an inconvenience. Example - I had quizzes scheduled on Friday and Saturday however my cheatsheet need to be created a week prior. After spending the time reviewing for my exam I've realized that the material on my cheatsheet isn't consistent with what I feel like should be on it after properly preparing during the week. 

For our quiz one we were all required to do a handwritten cheatsheet but this was due prior to when most of us started to study during the week. Since the cheatsheet was handwritten would it be possible for a human to review the physical paper cheat sheet prior to the start of the exam to ensure that each cheat sheet is prepared according to academic standards. ","Fully open book exams - no more cheatsheets, Course notes only during exams - no more cheatsheets, Ability to digitally type cheatsheets, Each course should provide a standardized cheatsheet"
9/25/2024 9:36:01,8,For me I think it’s a way to learn because while creating the Cheatsheet you are learning as well. It’s just the adjustment that is worrying,"Ability to digitally type cheatsheets, Each course should provide a standardized cheatsheet"
